Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Utility-Manhole,2061 broadway,Manhattan,07/13/2017 06:04:36 PM,,40.77818031,-73.98216977
Fire-2nd Alarm,474 Coney Island Avenue,Brooklyn,07/22/2017 06:20:55 AM,,40.64617226,-73.97083387
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.73135779,-73.99245452
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Fire-5th Alarm,255 Mill Road,Staten Island,05/21/2017 04:28:08 AM,,40.56272021,-74.11140916
Fire-Haz Mat,41-12 12 Street,Queens,06/12/2017 13:36,,40.71400364,-73.82998933
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/2016 11:32:26 PM,,40.82565354,-73.88134827
Fire-2nd Alarm,152 23 Street,Brooklyn,12/18/2016 03:42:20 AM,,40.66208512,-73.99773598
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154,-74.00607638
Utility-Power Outage,,Brooklyn,02/10/2017 2:36,,,
Transportation-Other,Van Wyck Expressway North and South Bound,Queens,02/10/2017 5:18,,,
Fire-4th Alarm,511 Amsterdam Avenue,Manhattan,02/24/2017 06:21:05 PM,,40.71442154,-74.00607638
Fire-Collapse,3000 Jerome Avenue,Bronx,02/19/2017 06:22:00 AM,,40.87410853,-73.88906744
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54,,40.71400364,-73.82998933
Fire-4th Alarm,1342 College Avenue,Bronx,03/01/2017 13:53,,40.83625316,-73.91128252
Utility-Steam Main,35 Madison Street,Manhattan,02/15/2017 10:53:15 AM,,,
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154,-74.00607638
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 23:13,,40.71400364,-73.82998933
HazMat-High Carbon Monoxide,30 Cooper Square,Manhattan,01/12/2017 14:30,,40.71442154,-74.00607638
Law Enforcement-Other,,Brooklyn,02/21/2017 03:32:14 PM,,,
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 4:10,,40.54194657,-74.1488719
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 23:13,,40.71400364,-73.82998933
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154,-74.00607638
Fire-4th Alarm,657 Crotona Park North,Bronx,03/06/2017 18:40,,40.84251557,-73.89461655
HazMat-High Carbon Monoxide,1472 Boston Road,Bronx,03/08/2017 18:11,,40.83414587,-73.8949732
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 4:10,,40.54194657,-74.1488719
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 23:13,,40.71400364,-73.82998933
Utility-Other,71-17 Roosevelt Avenue,Queens,03/03/2017 10:33,,,
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 23:13,,40.71400364,-73.82998933
Structural-Collapse,2461 amsterdam,manhattan,08/07/2017 15:31,,40.84880706,-73.93034714
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Fire-10-76 (Commercial High Rise Fire),390 Madison Avenue,Manhattan,03/02/2017 23:41,,40.71442154,-74.00607638
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,02/10/2017 19:40,40.82730091,-73.86917898
Utility-Water Main,156 Montague Street,Brooklyn,03/02/2017 16:00,,40.69440421,-73.9929876
Utility-Power Outage,2635 3rd Avenue,Bronx,08/14/2017 03:06:55 AM,,,
Fire-2nd Alarm,447 Wales Avenue,Bronx,07/26/2017 03:06:44 AM,,40.81028097,-73.90820618
Fire-2nd Alarm,447 Wales Avenue,Bronx,07/26/2017 03:06:44 AM,,40.81028097,-73.90820618
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Law Enforcement-Explosion,145-23 222 Street,Queens,07/28/2017 05:14:42 PM,,40.66324403,-73.75676401
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Fire-3rd Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Structural-Sidewalk Collapse,836 5 Avenue,Brooklyn,04/20/2019 01:52:16 PM,,40.6532042,-74.00191389
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154,-74.00607638
Structural-Street Collapse,205 East 33 Street,Manhattan,02/14/2017 09:13:41 AM,,40.71442154,-74.00607638
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091,-73.86917898
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Fire-2nd Alarm,1580 Edison Avenue,Bronx,04/21/2019 04:03:19 AM,,40.84337809,-73.83291574
Transportation-Train Subway,Hanson Place & Ashland Place,Brooklyn,01/04/2017 8:28,,40.68506011,-73.9779675
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54,01/10/2017 4:22,40.71400364,-73.82998933
Utility-Steam Service Line,5th Avenue  & 57th Street,Manhattan,01/06/2017 11:44,,,
Fire-6th Alarm,324 East 93rd,Manhattan,10/27/2016 03:40:16 AM,,40.71442154,-74.00607638
Fire-6th Alarm,24 Murray Street,Manhattan,09/01/2017 19:10,,40.71366898,-74.00862483
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154,-74.00607638
Structural-Partial Collapse,246 West Fordham Road,Bronx,04/01/2017 9:55,,40.86171657,-73.91068343
Structural-Street Collapse,Broad Street & Water Street,Manhattan,03/19/2017 09:03:04 PM,,,
Utility-Water Service Line,West End Avenue & West 95 Street,Manhattan,08/20/2017 04:43:18 AM,,40.794579,-73.9737045
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Utility-Other,10 Nathan Perlman Place,Manhattan,05/02/2019 11:30,,40.73360501,-73.98293628
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 23:43,,40.60921163,-73.96917757
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 23:13,,40.71400364,-73.82998933
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Utility-Water Main,St.Nicholas Avenue c/s West 162 Street,Manhattan,01/19/2017 09:30:45 PM,,40.78997515,-74.01747455
Fire-2nd Alarm,41-45 70 Street,Queens,02/05/2017 6:38,,40.71400364,-73.82998933
Utility-Power Outage,2800 W 5 St,Brooklyn,11/18/2016 02:13:08 PM,11/18/2016 11:31:39 PM,40.57967989,-73.97190928
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/2016 03:53:54 PM,,40.71400364,-73.82998933
Administration-Planned Event,1227 Tinton Avenue,Bronx,06/01/2016 14:29,,40.83008667,-73.90004687
Law Enforcement-Other,,Brooklyn,10/29/2016 05:35:28 PM,,,
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.82730091,-73.86917898
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.71442154,-74.00607638
Utility-Water Main,145 Avenue  & 229 Street,Queens,09/26/2017 08:24:46 PM,,40.66173,-73.7506305
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Utility-Gas Service Line,21-24 31 Street,Queens,03/21/2017 07:39:32 PM,,40.71400364,-73.82998933
Fire-1st Alarm,826 Broadway,Manhattan,03/31/2017 07:57:15 AM,,40.71442154,-74.00607638
Structural-Street Collapse,44 Street & East 4th Street,Brooklyn,03/30/2017 07:58:26 PM,,40.65149314,-73.99822558
Fire-Other,172 wythe ave,Brooklyn,04/01/2017 17:29,,40.71935246,-73.96067201
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
Law Enforcement-Haz Mat,150 dreiser loop,Bronx,04/13/2017 11:22:35 PM,,40.87685686,-73.82979889
Structural-Partial Collapse,246 West Fordham Road,Bronx,04/01/2017 9:55,,40.86171657,-73.91068343
Fire-3rd Alarm,6 East 32nd Street,Manhattan,04/24/2019 11:32:39 AM,,40.74682278,-73.98478502
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.73135779,-73.99245452
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 23:43,,40.60921163,-73.96917757
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/2016 09:04:03 AM,,,
HazMat-High Carbon Monoxide,1750 Grand Course,Bronx,05/02/2019 4:39,,40.84970163,-73.91319386
Utility-Other,10 Nathan Perlman Place,Manhattan,05/02/2019 11:30,,40.73360501,-73.98293628
Fire-5th Alarm,1136 Olmstead Avenue,Bronx,06/22/2017 03:51:02 PM,,40.8304185,-73.85380655
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.85053252,-73.9089195
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.85053252,-73.9089195
Structural-Collapse,27 West 38 Street,Manhattan,10/30/2015 10:39:24 AM,,40.7514237,-73.98379814
Fire-2nd Alarm,2582 briggs ave,bronx,04/16/2017 03:30:51 PM,,40.86382269,-73.89349297
Transportation-Train Subway,West 31 Street & 7 Avenue,Manhattan,04/03/2017 9:22,,40.71442154,-74.00607638
Fire-Sensitive Location,64 Norfolk Street,Manhattan,05/14/2017 07:15:30 PM,,40.71442154,-74.00607638
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.70178229,-73.80841858
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.70178229,-73.80841858
Fire-Manhole,Nostrand Avenue & Gates Avenue,Brooklyn,04/24/2017 07:45:14 PM,,40.6861805,-73.95073716
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
Fire-Sensitive Location,64 Norfolk Street,Manhattan,05/14/2017 07:15:30 PM,,40.71442154,-74.00607638
Utility-Water Service Line,10502 Avenue D,Brooklyn,04/25/2017 06:22:07 AM,,,
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.85053252,-73.9089195
Utility-Other,10 Nathan Perlman Place,Manhattan,05/02/2019 11:30,,40.73360501,-73.98293628
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.85053252,-73.9089195
Fire-3rd Alarm,2062 62 Street,Brooklyn,04/28/2017 03:21:31 PM,04/29/2017 01:07:02 AM,40.61729599,-73.98255607
Administration-Drill,317 East 67 Street,Manhattan,02/23/2017 02:55:01 PM,,40.71442154,-74.00607638
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
Utility-Gas High Pressure,50-15 Beach Channel Drive,Queens,12/19/2016 11:25:52 AM,12/19/2016 02:57:04 PM,40.71400364,-73.82998933
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Fire-6th Alarm,24 Murray Street,Manhattan,09/01/2017 19:10,,40.71366898,-74.00862483
Utility-Water Main,5601 16 Avenue,Brooklyn,12/20/2016 07:16:23 AM,,40.6268184,-73.98983949
Fire-Haz Mat,41-12 12 Street,Queens,06/12/2017 13:36,,40.71400364,-73.82998933
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 23:13,,40.71400364,-73.82998933
Utility-Water Main,Nugent Avenue & Graham Boulevard,Staten Island,05/08/2017 21:02,,40.57830423,-74.09107817
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 13:36,,40.71400364,-73.82998933
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 17:10,,40.64567499,-74.0022561
Fire-Sensitive Location,1315 54 Street,Brooklyn,05/07/2019 2:13,,40.63199001,-73.99460738
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 23:43,,40.60921163,-73.96917757
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 4:10,,40.54194657,-74.1488719
Fire-2nd Alarm,88 prospect park west,Brooklyn,03/04/2017 21:26,,40.66733562,-73.97463035
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 23:13,,40.71400364,-73.82998933
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-4th Alarm,653 Crotona Park North,Bronx,03/06/2017 18:40,,40.84252576,-73.89462389
Utility-Electric Overhead,,Brooklyn,05/21/2019 07:37:34 PM,,,
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.71400364,-73.82998933
Structural-Demolition,350 West 52nd Street,New York,05/30/2019 12:06:51 PM,,40.76422084,-73.98691352
Fire-2nd Alarm,615 Hudson Street,Manhattan,06/25/2017 04:26:09 PM,,40.71442154,-74.00607638
Structural-Partial Collapse,246 West Fordham Road,Bronx,04/01/2017 9:55,,40.86171657,-73.91068343
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 13:36,,40.71400364,-73.82998933
Utility-Other,12th Road & 152 Street,Queens,05/26/2019 03:14:12 AM,,40.790736,-73.81008
Fire-Haz Mat,02 East 61 Street,Manhattan,05/28/2019 07:20:21 AM,,40.76534681,-73.97179263
Fire-Collapse,1406 Prospect Avenue,Bronx,06/01/2019 15:04,,40.83226532,-73.89658565
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.70178229,-73.80841858
Fire-3rd Alarm,115 East 138 Street,Bronx,04/09/2017 0:53,,,
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 23:43,,40.60921163,-73.96917757
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.70178229,-73.80841858
Utility-Water Main,,Brooklyn,11/02/2019 18:22,11/02/2019 20:28,,
Structural-Construction Accident,570 broome street,manhattan,04/13/2019 03:51:16 AM,,40.72452636,-74.00665201
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
Utility-Water Main,East 20 Street & 5th Avenue,New York,05/29/2019 08:12:21 AM,,40.739661,-73.990944
Structural-Crane,,Brooklyn,12/08/2016 21:38,12/10/2016 12:25,,
Transportation-Train Subway,West 31 Street & 7 Avenue,Manhattan,04/03/2017 9:22,,40.71442154,-74.00607638
Fire-Collapse,1406 Prospect Avenue,Bronx,06/01/2019 15:04,06/03/2019 6:49,40.83226532,-73.89658565
Utility-Manhole,51 Junius Street,Brooklyn,04/27/2017 04:41:08 AM,,40.67366936,-73.90398628
Law Enforcement-Haz Mat,150 dreiser loop,Bronx,04/13/2017 11:22:35 PM,,40.87685686,-73.82979889
Utility-Water Main,,Queens,04/26/2017 03:23:22 AM,,40.66245165,-73.80039999
Fire-1st Alarm,151 West 100 Street,New York,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Structural-Life Safety Violations,2028 East 9 Street,Brooklyn,12/16/2016 12:35:45 PM,12/16/2016 03:58:08 PM,40.59972441,-73.96242614
Structural-Collapse,1294 Park Pl,Brooklyn,10/17/2017 10:00:47 AM,,,
Utility-Water Main,Rockaway Boulevard   & Brookville Boulevard,Queens,05/17/2017 06:56:05 AM,,,
Structural-Collapse,173-07 Liberty Avenue,Queens,09/29/2017 12:25:04 PM,,40.70468961,-73.78479944
Structural-Demolition,350 West 52nd Street,New York,05/30/2019 12:06:51 PM,,40.76422084,-73.98691352
Utility-Water Main,207 Madison Street,Manhattan,05/03/2017 9:03,,40.71442154,-74.00607638
Structural-Crane,225 Park Avenue South,Manhattan,12/09/2016 12:20,,40.71442154,-74.00607638
Utility-Water Main,832 Post Avenue,Staten Island,05/03/2017 6:45,,40.63102365,-74.12878859
Fire-1st Alarm,151 West 100 Street,New York,12/23/2016 01:36:49 PM,,40.71442154,-74.00607638
Structural-Collapse,705 Lafayette Ave,Brooklyn,06/04/2019 12:23,,40.69063441,-73.94488659
Fire-10-76 (Commercial High Rise Fire),645 Madison Avenue,New York,04/19/2019 01:13:40 PM,04/19/2019 03:45:29 PM,40.7639929,-73.97107438
Fire-Hospital,121 Dekalb Ave,Brooklyn,04/15/2019 06:50:17 AM,,40.68991568,-73.97812329
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.61825506,-73.93215403
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 13:36,,40.71400364,-73.82998933
Structural-Demolition,350 West 52nd Street,New York,05/30/2019 12:06:51 PM,,40.76422084,-73.98691352
Structural-Street Collapse,54 East 181 Street,Bronx,06/10/2017 19:11,,40.85523504,-73.90452359
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.71400364,-73.82998933
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Law Enforcement-Suspicious Package,800 2nd Avenue,Manhattan,10/26/2017 03:17:12 PM,,40.78086948,-73.96769188
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Transportation-Other,Long Island Expressway & Kissena Blvd,Queens,10/23/2017 02:17:33 PM,,,
Fire-1st Alarm,490 East 91 Street,Manhattan,10/22/2017 03:11:56 PM,,,
Fire-3rd Alarm,1216 Halsey Street,Brooklyn,10/23/2017 06:32:59 AM,,,
Structural-Collapse,1294 Park Pl,Brooklyn,10/17/2017 10:00:47 AM,,,
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 13:36,,40.71400364,-73.82998933
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 18:35,,40.71400364,-73.82998933
HazMat-Other,,Staten Island,11/13/2017 10:28:56 AM,,,
Fire-2nd Alarm,328 East 14th Street,Manhattan,05/26/2017 05:47:04 AM,,,
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Utility-Water Main,1526 Pacific Street,Brooklyn,11/02/2017 5:17,,,
Fire-4th Alarm,150 Nagle Avenue,Manhattan,11/12/2017 10:17,,,
HazMat-Chemical,,Brooklyn,11/09/2017 18:50,,,
Structural-Stability Problem,300 East 96 Street,Manhattan,11/09/2017 14:33,,40.73135779,-73.99245452
Utility-Water Main,,Brooklyn,11/11/2017 9:13,,,
HazMat-Chemical,,Brooklyn,11/09/2017 18:50,,,
